03/17/2021 03:50:30 - INFO     - Training on cuda
03/17/2021 03:50:30 - INFO     - Train/Test Split: 94.6% / 5.4%
03/17/2021 03:50:38 - INFO     - Starting new training for /home/ubuntu/EVGen/Results/AWS_test_v10
03/17/2021 04:37:46 - INFO     - Completed: Epoch 386/5000 	 Batch 50/70.0 	 Total Batches 27000/350000.0 	 Time left 9:23:54.395652
03/17/2021 04:38:38 - INFO     - Completed: Epoch 393/5000 	 Batch 60/70.0 	 Total Batches 27500/350000.0 	 Time left 9:22:59.877598
03/17/2021 04:39:30 - INFO     - Completed: Epoch 400/5000 	 Batch 70/70.0 	 Total Batches 28000/350000.0 	 Time left 9:22:03.983919
03/17/2021 04:40:22 - INFO     - Completed: Epoch 408/5000 	 Batch 10/70.0 	 Total Batches 28500/350000.0 	 Time left 9:21:03.099859
03/17/2021 04:41:14 - INFO     - Completed: Epoch 415/5000 	 Batch 20/70.0 	 Total Batches 29000/350000.0 	 Time left 9:20:11.093361
03/17/2021 04:42:06 - INFO     - Completed: Epoch 422/5000 	 Batch 30/70.0 	 Total Batches 29500/350000.0 	 Time left 9:19:15.336003
03/17/2021 04:42:58 - INFO     - Completed: Epoch 429/5000 	 Batch 40/70.0 	 Total Batches 30000/350000.0 	 Time left 9:18:20.408162
03/17/2021 04:43:50 - INFO     - Completed: Epoch 436/5000 	 Batch 50/70.0 	 Total Batches 30500/350000.0 	 Time left 9:17:29.760806
03/17/2021 04:44:43 - INFO     - Completed: Epoch 443/5000 	 Batch 60/70.0 	 Total Batches 31000/350000.0 	 Time left 9:16:38.556171
03/17/2021 04:45:35 - INFO     - Completed: Epoch 450/5000 	 Batch 70/70.0 	 Total Batches 31500/350000.0 	 Time left 9:15:49.282321
03/17/2021 04:46:28 - INFO     - Completed: Epoch 458/5000 	 Batch 10/70.0 	 Total Batches 32000/350000.0 	 Time left 9:14:50.451623
03/17/2021 04:47:20 - INFO     - Completed: Epoch 465/5000 	 Batch 20/70.0 	 Total Batches 32500/350000.0 	 Time left 9:14:00.379168
03/17/2021 04:48:12 - INFO     - Completed: Epoch 472/5000 	 Batch 30/70.0 	 Total Batches 33000/350000.0 	 Time left 9:13:08.808398
03/17/2021 04:49:05 - INFO     - Completed: Epoch 479/5000 	 Batch 40/70.0 	 Total Batches 33500/350000.0 	 Time left 9:12:20.630318
03/17/2021 04:49:58 - INFO     - Completed: Epoch 486/5000 	 Batch 50/70.0 	 Total Batches 34000/350000.0 	 Time left 9:11:35.337004
03/17/2021 04:50:52 - INFO     - Completed: Epoch 493/5000 	 Batch 60/70.0 	 Total Batches 34500/350000.0 	 Time left 9:10:54.201478
03/17/2021 04:51:45 - INFO     - Completed: Epoch 500/5000 	 Batch 70/70.0 	 Total Batches 35000/350000.0 	 Time left 9:10:09.791256
03/17/2021 04:52:38 - INFO     - Completed: Epoch 508/5000 	 Batch 10/70.0 	 Total Batches 35500/350000.0 	 Time left 9:09:15.728854
03/17/2021 04:53:30 - INFO     - Completed: Epoch 515/5000 	 Batch 20/70.0 	 Total Batches 36000/350000.0 	 Time left 9:08:27.414058
03/17/2021 04:54:23 - INFO     - Completed: Epoch 522/5000 	 Batch 30/70.0 	 Total Batches 36500/350000.0 	 Time left 9:07:40.769600
03/17/2021 04:55:16 - INFO     - Completed: Epoch 529/5000 	 Batch 40/70.0 	 Total Batches 37000/350000.0 	 Time left 9:06:53.221606
03/17/2021 04:56:09 - INFO     - Completed: Epoch 536/5000 	 Batch 50/70.0 	 Total Batches 37500/350000.0 	 Time left 9:06:07.669640
03/17/2021 04:57:02 - INFO     - Completed: Epoch 543/5000 	 Batch 60/70.0 	 Total Batches 38000/350000.0 	 Time left 9:05:21.950878
03/17/2021 04:57:55 - INFO     - Completed: Epoch 550/5000 	 Batch 70/70.0 	 Total Batches 38500/350000.0 	 Time left 9:04:32.368703
03/17/2021 04:58:47 - INFO     - Completed: Epoch 558/5000 	 Batch 10/70.0 	 Total Batches 39000/350000.0 	 Time left 9:03:31.031795
03/17/2021 04:59:39 - INFO     - Completed: Epoch 565/5000 	 Batch 20/70.0 	 Total Batches 39500/350000.0 	 Time left 9:02:36.944565
03/17/2021 05:00:32 - INFO     - Completed: Epoch 572/5000 	 Batch 30/70.0 	 Total Batches 40000/350000.0 	 Time left 9:01:44.444242
03/17/2021 05:01:24 - INFO     - Completed: Epoch 579/5000 	 Batch 40/70.0 	 Total Batches 40500/350000.0 	 Time left 9:00:52.384794
03/17/2021 05:02:16 - INFO     - Completed: Epoch 586/5000 	 Batch 50/70.0 	 Total Batches 41000/350000.0 	 Time left 9:00:00.957549
03/17/2021 05:03:09 - INFO     - Completed: Epoch 593/5000 	 Batch 60/70.0 	 Total Batches 41500/350000.0 	 Time left 8:59:10.126341
03/17/2021 05:04:02 - INFO     - Completed: Epoch 600/5000 	 Batch 70/70.0 	 Total Batches 42000/350000.0 	 Time left 8:58:24.282126
03/17/2021 05:04:55 - INFO     - Completed: Epoch 608/5000 	 Batch 10/70.0 	 Total Batches 42500/350000.0 	 Time left 8:57:29.417319
03/17/2021 05:05:49 - INFO     - Completed: Epoch 615/5000 	 Batch 20/70.0 	 Total Batches 43000/350000.0 	 Time left 8:56:47.988097
03/17/2021 05:06:43 - INFO     - Completed: Epoch 622/5000 	 Batch 30/70.0 	 Total Batches 43500/350000.0 	 Time left 8:56:07.237722
03/17/2021 05:07:35 - INFO     - Completed: Epoch 629/5000 	 Batch 40/70.0 	 Total Batches 44000/350000.0 	 Time left 8:55:15.393409
03/17/2021 05:08:27 - INFO     - Completed: Epoch 636/5000 	 Batch 50/70.0 	 Total Batches 44500/350000.0 	 Time left 8:54:22.582403
03/17/2021 05:09:20 - INFO     - Completed: Epoch 643/5000 	 Batch 60/70.0 	 Total Batches 45000/350000.0 	 Time left 8:53:31.977812
03/17/2021 05:10:12 - INFO     - Completed: Epoch 650/5000 	 Batch 70/70.0 	 Total Batches 45500/350000.0 	 Time left 8:52:41.026428
03/17/2021 05:11:05 - INFO     - Completed: Epoch 658/5000 	 Batch 10/70.0 	 Total Batches 46000/350000.0 	 Time left 8:51:40.173464
03/17/2021 05:11:57 - INFO     - Completed: Epoch 665/5000 	 Batch 20/70.0 	 Total Batches 46500/350000.0 	 Time left 8:50:45.420528
03/17/2021 05:12:48 - INFO     - Completed: Epoch 672/5000 	 Batch 30/70.0 	 Total Batches 47000/350000.0 	 Time left 8:49:50.293966
03/17/2021 05:13:40 - INFO     - Completed: Epoch 679/5000 	 Batch 40/70.0 	 Total Batches 47500/350000.0 	 Time left 8:48:55.825475
03/17/2021 05:14:32 - INFO     - Completed: Epoch 686/5000 	 Batch 50/70.0 	 Total Batches 48000/350000.0 	 Time left 8:48:02.272078
03/17/2021 05:15:25 - INFO     - Completed: Epoch 693/5000 	 Batch 60/70.0 	 Total Batches 48500/350000.0 	 Time left 8:47:08.645501
03/17/2021 05:16:17 - INFO     - Completed: Epoch 700/5000 	 Batch 70/70.0 	 Total Batches 49000/350000.0 	 Time left 8:46:16.771084
